Part No,Description,UPC,HMV,Vir,VMS UAE,VMS QAT,ARQOOB SOH, Product Distribution,Retailer SOH,,,,,Cost,,,,,Price,,,,RRP,,,,Jan,,,,,Feb,,,,,March,,,,,April,,,,,May,,,,,June,,,,,July,,,,
,,,,,,,,,HMV,VMS-U,VMS-Q,Vir,Total, HMV , VMS-U , VMS-Q , Vir (QAR) ,Final, HMV , VMS-U , VMS-Q ,Vir (QAR), HMV , VMS-U , VMS-Q ,Vir (QAR),HMV,VMS-U,VMS-Q,Vir,Total,HMV,VMS-U,VMS-Q,Vir,Total,HMV,VMS-U,VMS-Q,Vir,Total,HMV,VMS-U,VMS-Q,Vir,Total,HMV,VMS-U,VMS-Q,Vir,Total,HMV,VMS-U,VMS-Q,Vir,Total,HMV,VMS-U,VMS-Q,Vir,Total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baseus Cross Peas Cable Clip Black,6953156261389,,,,1,4.00,,,,,5,5,,,,,0.00,,,,26.6805,,,,49,,,,,0,,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0
CATCY-B0G      ,BASEUS TYPE C TO HDMI JOINT ADAPTER CABLE 1.8M DARK GREY                                                      ,6953156261631,,1,,,1.00,,,1,,,1,,65.00,,,65.00,,129.50,,,,269.00,,,,1,,,1,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0
,Baseus iP Male to iP+iP Female Adapter L37 Black,6953156262522,,,,1,56.00,,,,,2,2,,,,,0.00,,,,64.7955,,,,119,,,,,0,,,,,0,,,,1,1,,,,0,0,,,,0,0,,,,0,0,,,,0,0
,Baseus Enjoyment  USB to 3xUSB3.0  Dark gray,6953156262751,,,,1,1.00,,,,,3,3,,,,,0.00,,,,53.9055,,,,99,,,,,0,,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0
,Baseus Thin QC30 display Power bank 10000mAh Black,6953156263178,,,,1,63.00,,,,,3,3,,,,,0.00,,,,119.2455,,,,219,,,,,0,,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0
,Baseus Thin display Power bank 10000mAh Red,6953156263192,,,,,35.00,,,,,0,0,,,,,0.00,,,,119.2455,,,,219,,,,,0,,,,,0,,,,0,0,,,,0,0,,,,1,1,,,,0,0,,,,0,0
,Baseus wheel Ring Bracket Black+Silver,6953156263383,,,,1,,,,,,4,4,,,,,0.00,,,,32.1255,,,,59,,,,,0,,,,,0,,,,5,5,,,,0,0,,,,0,0,,,,0,0,,,,1,1
,Baseus wheel Ring Bracket B+S,6953156263390,,,,1,6.00,,,,,5,5,,,,,0.00,,,,32.1255,,,,59,,,,,0,,,,,0,,,,1,1,,,,0,0,,,,3,3,,,,0,0,,,,1,1
,Baseus Encok Neck Hung Bluetooth  S16  Black,6953156264489,,,,1,6.00,,,,,3,3,,,,,0.00,,,,124.6905,,,,219,,,,,0,,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0
,Baseus Encok Neck Hung Bluetooth  S16  White,6953156264496,,,,1,39.00,,,,,3,3,,,,,0.00,,,,119.2455,,,,219,,,,,0,,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0
NGS16-06       ,BASEUS ENCOK NECK HUNG BLUETOOTH EARPHONES S16 GREEN                                                          ,6953156264502,,,,,52.00,,,0,,,0,,46.37,,,46.37,,99.50,,,,209.00,,,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0
NGS16-09       ,Baseus Encok Neck Hung Bluetooth Earphone S16  Red,6953156264519,,,,1,1.00,,,0,,1,1,,46.64,,,46.64,,99.50,,119.2455,,209.00,,219,,0,,,0,,0,,,0,,0,,2,2,,0,,0,0,,0,,0,0,,0,,0,0,,0,,0,0
SGAPIPHX-TZ01  ,BASEUS GLASS FILM SET BLACK FOR IPHONE X                                                                      ,6953156265608,,1,,,272.00,Not OK,,17,,,17,,11.77,,,11.77,,49.50,,,,109.00,,,,0,,,0,,1,,,1,,14,,,14,,14,,,14,,6,,,6,,15,,,15,,2,,,2
ACAPIPH-EA9    ,BASEUS RED-HAT TYPE-C 32GB USB FLASH DISK                                                                     ,6953156267503,,1,,,36.00,,,1,,,1,,47.30,,,47.30,,104.50,,,,219.00,,,,2,,,2,,0,,,0,,0,,,0,,0,,,0,,1,,,1,,0,,,0,,0,,,0
CAMLT-FW09,Baseus Rapid Series 3-in-1 cable 1.2m For IP+Micro+Type-C Red,6953156268074,1,,,,6.00,,4,,,,4,15.09,,,,15.09,37.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,1,,,,1
,Baseus Type-C Male To Type-C Female +3.5 L40 Black,6953156269323,,,,1,90.00,,,,,2,2,,,,,0.00,,,,37.5705,,,,69,,,,,0,,,,,0,,,,1,1,,,,0,0,,,,0,0,,,,0,0,,,,0,0
,Baseus Type-C Male To Type-C  +3.5 L40 Sil+ Black,6953156269330,,,,1,97.00,,,,,3,3,,,,,0.00,,,,37.5705,,,,69,,,,,0,,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0
,Baseus Encok Wireless Headphone D01 red,6953156269873,,,,1,9.00,,,,,1,1,,,,,0.00,,,,113.8005,,,,209,,,,,0,,,,,0,,,,0,0,,,,1,1,,,,0,0,,,,1,1,,,,0,0
,Baseus Encok Wireless Headphone D01 Blush gold,6953156269880,,,,1,2.00,,,,,1,1,,,,,0.00,,,,113.8005,,,,209,,,,,0,,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,1,1,,,,1,1
,Baseus Encok Wireless Headphone D01 Tarnish,6953156269897,,,,1,13.00,,,,,2,2,,,,,0.00,,,,113.8005,,,,209,,,,,0,,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,1,1
ACAPIPHX-BJ01  ,BASEUS PLAID BLACK 3500MAH POWER BANK FOR IPHONE X                                                            ,6953156270640,,,1,,30.00,,,0,8,,8,,46.78,46.78,,46.78,,89.50,94.50,,,189.00,189.00,,,5,,,5,,2,16,,18,,0,7,,7,,0,15,,15,,0,6,,6,,0,5,,5,,0,7,,7
CATSY-0G       ,BASEUS TYPE-C MALE TO HDMI MALE 4K HD ADAPTER CABLE 1.8M                                                      ,6953156270954,,1,,,15.00,,,1,,,1,,40.99,,,40.99,,89.50,,,,189.00,,,,3,,,3,,2,,,2,,4,,,4,,0,,,0,,1,,,1,,0,,,0,,0,,,0
CATSX-F0G      ,BASEUS 10-IN-1 HUB ADAPTER                                                                                    ,6953156270961,,,,,19.00,,,0,,,0,,161.91,,,161.91,,344.50,,,,719.00,,,,1,,,1,,1,,,1,,1,,,1,,0,,,0,,0,,,0,,0,,,0,,0,,,0
PPKC-A01       ,Baseus Quick Charge Power Bank(20000 mAh Black,6953156271197,,1,,1,40.00,,,11,,3,14,,61.89,,,61.89,,119.50,,141.0255,,249.00,,259,,1,,,1,,0,,,0,,0,,0,0,,4,,1,5,,5,,0,5,,5,,1,6,,7,,0,7
PPKC-A02       ,Baseus Quick Charge Power Bank(20000 mAhWhite,6953156271203,,1,,1,33.00,,,3,,4,7,,63.40,,,63.40,,119.50,,141.0255,,249.00,,259,,0,,,0,,0,,,0,,1,,0,1,,1,,1,2,,4,,0,4,,4,,0,4,,3,,0,3
PPKC-A09       ,Baseus Quick Charge Power Bank(20000 mAhRed,6953156271210,,,,1,27.00,,,0,,2,2,,63.40,,,63.40,,119.50,,141.0255,,249.00,,259,,0,,,0,,0,,,0,,2,,3,5,,1,,0,1,,2,,0,2,,1,,0,1,,0,,0,0
NGS07-01       ,BASEUS ENCOK BLACK SPORTS WIRELESS IN-EAR EARPHONES S07                                                       ,6953156271357,,1,,,34.00,,,5,,,5,,27.24,,,27.24,,49.50,,,,99.00,,,,0,,,0,,1,,,1,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0
NGS07-S9       ,BASEUS ENCOK SILVER/RED SPORTS WIRELESS IN-EAR EARPHONES S07                                                  ,6953156271364,,,,,20.00,,,0,,,0,,27.24,,,27.24,,49.50,,,,99.00,,,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0
NGS07-19       ,BASEUS ENCOK RED/BLACK SPORTS WIRELESS IN-EAR EARPHONES S07                                                   ,6953156271371,,,,,,,,0,,,0,,26.99,,,26.99,,49.50,,,,99.00,,,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0
WXJS-A1        ,BASEUS METAL WIRELESS CHARGER TARNISH/BLACK                                                                   ,6953156271685,,,,,47.00,,,0,,,0,,31.09,,,31.09,,79.50,,,,169.00,,,,0,,,0,,1,,,1,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0
WXJS-S2        ,BASEUS METAL WIRELESS CHARGER SILVER/WHITE                                                                    ,6953156271692,,,,,60.00,,,0,,,0,,31.03,,,31.03,,79.50,,,,169.00,,,,1,,,1,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0
WXYL-A01       ,Baseus Osculum Wireless Gravity Car Charger,6953156271791,1,1,1,,119.00,,5,24,16,,45,29.11,37.13,37.13,,37.13,87.45,74.50,79.50,,,156.00,159.00,,,,,,0,,,,,0,,,,,0,,8,0,,8,,16,0,,16,,9,2,,11,0,12,2,,14
,Baseus Encok Headphone Holder DB01,6953156271807,,,,1,32.00,,,,,5,5,,,,,0.00,,,,53.9055,,,,99,,,,,0,,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0
ACAPIPHX-ABJ01 ,BASEUS 1+1 BLACK WIRELESS CHARGE 5000MAH POWER BANK FOR IPHONE XS/X                                           ,6953156272668,,,,,,,,0,,,0,,63.54,,,63.54,,119.50,,,,249.00,,,,3,,,3,,1,,,1,,1,,,1,,2,,,2,,0,,,0,,0,,,0,,0,,,0
CCALL-JK01     ,Baseus Simple Wireless Charger Black,6953156272965,1,,,,4.00,,3,0,,,3,25.97,25.97,,,25.97,70.95,54.50,,,,119.00,,,,1,,,1,,1,,,1,,3,,,3,,0,,,0,,0,,,0,,0,,,0,0,0,,,0
CCALL-JK02     ,BASEUS SIMPLE WIRELESS CHARGER WHITE                                                                          ,6953156272972,,1,,,13.00,,,1,,,1,,25.65,,,25.65,,54.50,,,,119.00,,,,3,,,3,,0,,,0,,1,,,1,,0,,,0,,0,,,0,,0,,,0,,0,,,0
PPALL-EX01     ,BASEUS DUAL OUTPUT WIRELESS CHARGE POWER BANK 8000MAH BLACK                                                   ,6953156273016,,,,,2.00,,,0,,,0,,43.38,,,43.38,,79.50,,,,169.00,,,,4,,,4,,3,,,3,,4,,,4,,9,,,9,,0,,,0,,0,,,0,,2,,,2
PPALL-EX09     ,Baseus full screen bracket wireless charge Power Bank 8000mAh red,6953156273023,1,1,,,,,2,4,,,6,,43.13,,,43.13,98.45,79.50,,,,169.00,,,,1,,,1,,1,,,1,,5,,,5,,1,,,1,,0,,,0,,1,,,1,0,0,,,0
ACCHZ-01       ,Baseus Rotation Type Universal Charger Black,6953156273030,1,1,1,,60.00,,5,12,3,,20,24.31,25.36,25.36,,25.36,65.45,49.50,54.50,,,109.00,109.00,,,4,,,4,,3,1,,4,,2,5,,7,,10,1,,11,,5,2,,7,,11,0,,11,0,9,1,,10
SUYZD-01       ,BASEUS BULLET ON-BOARD CAR MAGNETIC BRACKET BLACK                                                             ,6953156273085,,1,1,,777.00,,,31,18,,49,,13.62,13.62,,13.62,,34.50,34.50,,,69.00,69.00,,,11,,,11,,11,13,,24,,19,11,,30,,26,11,,37,,28,9,,37,,23,11,,34,,30,12,,42
SUYZD-09       ,BASEUS BULLET ON-BOARD CAR MAGNETIC BRACKET RED                                                               ,6953156273092,,1,1,,15.00,,,16,7,,23,,13.95,13.95,,13.95,,34.50,34.50,,,69.00,69.00,,,8,,,8,,2,4,,6,,5,7,,12,,8,4,,12,,6,6,,12,,5,1,,6,,9,4,,13
SUYZD-0S       ,BASEUS BULLET ON-BOARD CAR MAGNETIC BRACKET SILVER                                                            ,6953156273108,,1,1,,264.00,,,33,16,,49,,13.95,13.95,,13.95,,34.50,34.50,,,69.00,69.00,,,11,,,11,,4,12,,16,,22,5,,27,,18,12,,30,,9,3,,12,,8,4,,12,,14,15,,29
PPALL-PX01     ,Baseus Parallel line portable version Power Bank 10000mAh Black,6953156273665,1,,,1,18.00,,5,0,,2,7,26.90,26.90,,,26.90,76.45,59.50,,75.6855,,129.00,,139,,2,,,2,,0,,,0,,0,,0,0,,4,,0,4,,1,,0,1,,1,,1,2,0,0,,0,0
PPALL-PX02     ,Baseus Parallel line  Power Bank 10000mAh White,6953156273672,,1,,1,13.00,,,9,,1,10,,26.90,,,26.90,,59.50,,75.6855,,129.00,,139,,0,,,0,,1,,,1,,7,,0,7,,5,,0,5,,9,,0,9,,5,,0,5,,5,,1,6
PPALL-PX03     ,Baseus Parallel line  Power Bank 10000mAh Blue,6953156273689,,,,1,31.00,,,0,,1,1,,26.96,,,26.96,,59.50,,75.6855,,129.00,,139,,0,,,0,,0,,,0,,0,,0,0,,0,,0,0,,0,,0,0,,0,,2,2,,0,,0,0
CCALL-AJK01    ,BASEUS SIMPLE WIRELESS CHARGER TRANSPARENT                                                                    ,6953156273825,,,,,9.00,,,0,,,0,,24.62,,,24.62,,54.50,,,,119.00,,,,1,,,1,,2,,,2,,2,,,2,,0,,,0,,0,,,0,,0,,,0,,0,,,0
NGW02-01       ,Baseus Encok W02 TWS Truly Wireless headset Black,6953156273887,1,1,1,,4.00,,2,7,8,,17,53.34,57.06,57.06,,57.06,120.45,104.50,109.50,,,219.00,219.00,,,10,,,10,,4,4,,8,,11,10,,21,,5,3,,8,,7,2,,9,3,1,6,,10,1,3,6,,10
NGW02-02       ,BASEUS ENCOK W02 TWS TRULY WIRELESS HEADSET WHITE                                                             ,6953156273894,,1,1,,51.00,,,6,11,,17,,53.97,53.97,,53.97,,104.50,109.50,,,219.00,219.00,,,3,,,3,,4,3,,7,,4,7,,11,,4,3,,7,,1,3,,4,,1,2,,3,,0,5,,5
CAMLT-ASY01,Baseus Three Primary Colors 3-in-1 Cable USB For M+L+T 3.5A 30C,6953156273931,1,,,,91.00,,2,,,0,2,7.99,,,,7.99,32.45,,,32.1255,,,,59,,,,,0,,,,,0,,,,1,1,,,,1,1,1,,,2,3,1,,,3,4,1,,,0,1
CALXD-A01,Baseus X-type Light Cable For Lightning 2A 0.5M Black,6953156274778,1,,,,19.00,,5,,,0,5,7.85,,,,7.85,32.45,,,32.1255,,,,59,,,,,0,,,,,0,,,,1,1,,,,1,1,,,,1,1,,,,2,2,0,,,0,0
,Baseus X-type  Cable For Lightning 2.4A .5M Purple,6953156274785,,,,,32.00,,,,,0,0,,,,,0.00,,,,32.1255,,,,59,,,,,0,,,,,0,,,,0,0,,,,0,0,,,,2,2,,,,2,2,,,,1,1
CALXD-A09,Baseus X-type Light Cable For Lightning 2.4A 0.5M Red,6953156274792,1,,,,25.00,,2,,,0,2,7.85,,,,7.85,32.45,,,32.1255,,,,59,,,,,0,,,,,0,,,,0,0,,,,0,0,,,,0,0,1,,,3,4,2,,,2,4
PPALL-QY01     ,BASEUS THIN WIRELESS CHARGE 10000MAH POWER BANK BLACK                                                         ,6953156275188,,1,,,3.00,,,3,,,3,,50.97,,,50.97,,109.50,,,,229.00,,,,0,,,0,,1,,,1,,2,,,2,,0,,,0,,0,,,0,,0,,,0,,0,,,0
PPALL-QY02     ,BASEUS THIN WIRELESS CHARGE 10000 MAH POWER BANK WHITE                                                        ,6953156275195,,1,,,,,,2,,,2,,49.81,,,49.81,,109.50,,,,229.00,,,,0,,,0,,0,,,0,,5,,,5,,6,,,6,,6,,,6,,4,,,4,,4,,,4
PPALL-QY04     ,BASEUS THIN WIRELESS CHARGE 10000MAH POWER BANK PINK                                                          ,6953156275201,,1,,,23.00,,,1,,,1,,49.81,,,49.81,,109.50,,,,229.00,,,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0
WXHSG-01       ,Baseus Silicone Horizontal Desktop Wireless Charger Black,6953156275515,1,,,,30.00,,3,0,,,3,28.72,28.72,,,28.72,76.45,59.50,,,,129.00,,,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,0,0,,,0
WXHSG-02       ,BASEUS SILCIONE HORIZONTAL DESKTOP WIRELESS CHARGER WHITE                                                     ,6953156275522,,,,,39.00,,,0,,,0,,28.72,,,28.72,,59.50,,,,129.00,,,,0,,,0,,1,,,1,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0
,Baseus Encok S10 Dual Dynamic Bluetooth  White,6953156275614,,,,1,26.00,,,,,3,3,,,,,0.00,,,,124.6905,,,,229,,,,,0,,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0
,Baseus Encok S10 Dual Dynamic Bluetooth  Red,6953156275621,,,,1,6.00,,,,,2,2,,,,,0.00,,,,124.6905,,,,229,,,,,0,,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,1,1
WXXHJ-B01      ,Baseus Dual Wireless Charger Black,6953156276390,1,,,,6.00,,5,0,,,5,77.21,77.21,,,77.21,164.45,139.50,,,,289.00,,,,5,,,5,,1,,,1,,3,,,3,,0,,,0,,0,,,0,,0,,,0,0,0,,,0
WXXHJ-B0S      ,Baseus Dual Wireless Charger Silver,6953156276406,1,1,,,,,5,15,,,20,76.08,76.08,,,76.08,164.45,139.50,,,,289.00,,,,0,,,0,,0,,,0,,4,,,4,,8,,,8,,7,,,7,,12,,,12,,0,,,0
CCALL-RH01     ,BASEUS LOCOMOTIVE BLUETOOTH MP3 VEHICLE CHARGER BLACK                                                         ,6953156276413,,1,1,,5.00,,,3,19,,22,,24.73,24.73,,24.73,,44.50,49.50,,,99.00,99.00,,,12,,,12,,8,11,,19,,13,6,,19,,3,6,,9,,3,5,,8,,3,1,,4,,1,13,,14
CAHUB-B0G      ,BASEUS THUNDERBOLT C+ DUAL TYPE-C TO USB3.0/HDMI/TYPE-C FEMALE HUB CONVERTER DEEP SPACE GRAY                  ,6953156276420,,1,,,20.00,,,1,,,1,,79.89,,,79.89,,169.50,,,,359.00,,,,5,,,5,,1,,,1,,3,,,3,,2,,,2,,6,,,6,,0,,,0,,0,,,0
SUJX-01        ,BASEUS GOLD AROMATIZING AIR VENT CAR MOUNT                                                                    ,6953156276468,,,,,,,,0,,,0,,22.00,,,22.00,,44.50,,,,99.00,,,,3,,,3,,1,,,1,,2,,,2,,0,,,0,,0,,,0,,0,,,0,,0,,,0
ACSR-MS01      ,BASEUS MAGIC MONSTER GAMEPAD STYLE POWER BANK 2000MAH                                                         ,6953156276673,,,,,,,,0,0,,0,,24.14,24.14,,24.14,,49.50,54.50,,,109.00,109.00,,,7,,,7,,2,0,,2,,6,0,,6,,4,0,,4,,3,0,,3,,2,0,,2,,0,0,,0
,Baseus Dual Wireless Plastic Style Charger Black,6953156276895,,,,1,,,,,,2,2,,,,,0.00,,,,151.9155,,,,279,,,,,0,,,,,0,,,,0,0,,,,1,1,,,,0,0,,,,0,0,,,,0,0
,Baseus Dual Wireless Plastic Style Charger White,6953156276901,,,,1,3.00,,,,,3,3,,,,,0.00,,,,151.9155,,,,279,,,,,0,,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0
SUBR-08,Baseus Bear Finger Metal Ring Grip Stand Holder Brown,6953156277304,1,,,1,,,3,,,6,9,6.49,,,,6.49,26.95,,,26.6805,,,,49,,,,,0,,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,1,,,0,1
,Baseus Bear Finger Metal Ring Grip  Red,6953156277311,,,,1,2.00,,,,,6,6,,,,,0.00,,,,26.6805,,,,49,,,,,0,,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0
,Baseus Fish eye Spring Data Cable Black,6953156277397,,,,1,4.00,,,,,2,2,,,,,0.00,,,,37.5705,,,,69,,,,,0,,,,,0,,,,0,0,,,,0,0,,,,1,1,,,,2,2,,,,0,0
,Baseus Fish eye Spring Data Cable Red,6953156277403,,,,,88.00,,,,,0,0,,,,,0.00,,,,37.5705,,,,69,,,,,0,,,,,0,,,,2,2,,,,1,1,,,,0,0,,,,0,0,,,,2,2
SGAPIPHX-RA01  ,BASEUS DROP-PROOF CURVED FULL SCREEN TEMPERED GLASS BLACK FOR IPHONE X                                        ,6953156277526,,1,,,44.00,,,2,,,2,,7.44,,,7.44,,44.50,,,,99.00,,,,4,,,4,,12,,,12,,26,,,26,,16,,,16,,3,,,3,,2,,,2,,1,,,1
CAMLT-PY09,Baseus Data Faction 3-in-1 Cable USB For M+L+T 3.5A 1.2M Red,6953156277618,1,,,,,,3,,,,3,10.98,,,,10.98,37.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,1,,,,1,,,,,0,1,,,,1
WXBV-01        ,BASEUS BV WIRELESS CHARGER BLACK                                                                              ,6953156277953,,,,,25.00,,,0,,,0,,20.21,,,20.21,,44.50,,,,99.00,,,,2,,,2,,1,,,1,,3,,,3,,0,,,0,,0,,,0,,0,,,0,,0,,,0
WXBV-02        ,BASEUS BV WIRELESS CHARGER WHITE                                                                              ,6953156277960,,,,,52.00,,,0,,,0,,20.25,,,20.25,,44.50,,,,99.00,,,,0,,,0,,0,,,0,,3,,,3,,0,,,0,,0,,,0,,0,,,0,,0,,,0
WXBV-03        ,BASEUS BV WIRELESS CHARGER BLUE                                                                               ,6953156277977,,,,,,,,0,,,0,,20.25,,,20.25,,44.50,,,,99.00,,,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0
CA1T4-B01,Baseus Fast 4-in-1 Cable For lightning+Type-C(2)+Micro 3.5A 1.2M B,6953156278493,1,,,,97.00,,4,,,,4,10.86,,,,10.86,37.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,1,,,,1
ACDKQ-HG01     ,BASEUS PENDANT CARD READER BLACK                                                                              ,6953156278523,,,,,1.00,,,0,,,0,,17.55,,,17.55,,39.50,,,,79.00,,,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0
ACDKQ-HG0S     ,BASEUS PENDANT CARD READER SILVER                                                                             ,6953156278530,,,,,,,,0,,,0,,17.55,,,17.55,,39.50,,,,79.00,,,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0
ACBZ-AP01      ,BASEUS AP PENCIL SILICONE CHARGING STAND FOR APPLE PENCIL BLACK                                               ,6953156278547,,1,,,97.00,,,3,,,3,,9.37,,,9.37,,24.50,,,,49.00,,,,1,,,1,,0,,,0,,1,,,1,,0,,,0,,1,,,1,,0,,,0,,0,,,0
ACBZ-AP09      ,BASEUS AP PENCIL SILICONE CHARGING STAND FOR APPLE PENCIL RED                                                 ,6953156278554,,1,,,70.00,,,3,,,3,,9.37,,,9.37,,24.50,,,,49.00,,,,0,,,0,,0,,,0,,1,,,1,,1,,,1,,0,,,0,,0,,,0,,0,,,0
ACBZ-AP0G      ,BASEUS AP PENCIL SILICONE CHARGING STAND FOR APPLE PENCIL GREY                                                ,6953156278561,,,,,65.00,,,0,,,0,,9.37,,,9.37,,24.50,,,,49.00,,,,1,,,1,,1,,,1,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0
CATL45-01      ,BASEUS AUDIO CONVERTER CATL45                                                                                 ,6953156278585,,1,,,2.00,,,19,0,,19,,9.66,9.66,,9.66,,29.50,34.50,,,62.00,69.00,,,,,,0,,,,,0,,,,,0,,2,0,,2,,13,0,,13,,8,0,,8,,8,0,,8
,Baseus Cube USB to USB3.0*+USB2.0*2 HUB  Dark gray,6953156278615,,,,1,13.00,,,,,2,2,,,,,0.00,,,,70.2405,,,,129,,,,,0,,,,,0,,,,0,0,,,,1,1,,,,0,0,,,,1,1,,,,1,1
CAHUB-D0G      ,BASEUS CUBE TYPE-C TO USB3.0X3+USB2.0X2 HUB ADAPTER DARK GRAY                                                 ,6953156278622,,,1,,1.00,,,0,5,,5,,27.00,27.00,,27.00,,59.50,64.50,,,129.00,129.00,,,8,,,8,,7,2,,9,,5,2,,7,,3,3,,6,,0,3,,3,,0,2,,2,,1,1,,2
CAHUB-E0G      ,Baseus Little box  TYPE-C to HDMI+TypeC  Dark gray,6953156278639,,,,1,11.00,,,0,,4,4,,55.70,,,55.70,,114.50,,135.5805,,239.00,,249,,0,,,0,,0,,,0,,0,,0,0,,0,,0,0,,0,,0,0,,0,,1,1,,0,,0,0
CCALL-TM01     ,BASEUS T TYPED BLUETOOTH MP3 CHARGER WITH CAR HOLDER BLACK                                                    ,6953156278721,,,,,3.00,,,0,,,0,,24.02,,,24.02,,49.50,,,,109.00,,,,3,,,3,,2,,,2,,1,,,1,,1,,,1,,0,,,0,,0,,,0,,0,,,0
CCALL-TM0A     ,BASEUS T TYPED BLUETOOTH MP3 CHARGER WITH CAR HOLDER TARNISH                                                  ,6953156278738,,,,,,,,0,,,0,,23.39,,,23.39,,49.50,,,,109.00,,,,0,,,0,,0,,,0,,1,,,1,,0,,,0,,0,,,0,,0,,,0,,0,,,0
CCALL-TM12     ,BASEUS T TYPED BLUETOOTH MP3 CHARGER WITH CAR HOLDER DARK COFFEE                                              ,6953156278745,,1,,,10.00,,,1,,,1,,22.86,,,22.86,,49.50,,,,109.00,,,,0,,,0,,0,,,0,,3,,,3,,4,,,4,,1,,,1,,0,,,0,,0,,,0
CCALL-XK01     ,BASEUS DESKTOP WIRELESS/WIRED CHARGER BLACK                                                                   ,6953156278790,,,,,106.00,Not OK,,0,,,0,,54.33,,,54.33,,109.50,,,,229.00,,,,1,,,1,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0
WXHSD-D01      ,Baseus Wireless charger power bank 10000mAh(Dual coil /Typec /P,6953156278806,1,,,1,1.00,,5,0,,2,7,66.12,67.55,,,67.55,153.45,129.50,,151.9155,,269.00,,279,,0,,,0,,0,,,0,,0,,0,0,,0,,1,1,,0,,0,0,,0,,0,0,0,0,,0,0
WXHSD-D02      ,BASEUS WIRELESS CHARGER POWER BANK 10000MAH WHITE                                                             ,6953156278813,,,,,,,,0,,,0,,67.55,,,67.55,,129.50,,,,269.00,,,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0
PPALL-AKU01    ,Baseus Mini Cu display Power Bank 10000mAh Black,6953156278844,,1,1,1,9.00,,,10,17,1,28,,37.62,37.62,,37.62,,64.50,69.50,81.1305,,139.00,139.00,149,,4,,,4,,3,5,,8,,10,3,0,13,,8,1,1,10,,6,1,1,8,,5,3,0,8,,21,1,0,22
PPALL-AKU02    ,Baseus Mini Cu digital display Power Bank 10000mAh White,6953156278851,1,1,,1,37.00,,3,11,,1,15,29.74,31.07,,,31.07,81.95,64.50,,81.1305,,139.00,,149,,1,,,1,,0,,,0,,2,,1,3,,3,,1,4,,7,,0,7,,5,,0,5,0,4,,0,4
SUCJG9-01      ,Baseus G9 Mobile Game scoring tool Black,6953156279018,,1,1,1,73.00,,,9,13,10,32,,5.26,5.26,,5.26,,24.50,24.50,37.5705,,49.00,49.00,69,,38,,,38,,20,10,,30,,12,6,1,19,,10,5,1,16,,7,5,2,14,,3,4,9,16,,4,2,2,8
